Event_Category,Time_Of_Day,Expected_Crowd,Environment_Type,Max_Venue_Capacity,Venue_Area_Sq_Meters,Number_Of_Fire_Exits,Event_Date,Duration_Hours,Latitude,Longitude,Has_Fireworks,Has_Temp_Structures,VIP_Attendance,Loudspeaker_Used,Road_Closure_Required,Is_Moving_Procession,Food_Stalls_Present,Liquor_Served,Risk_Level
Private Function,Afternoon,631,Outdoor,1584,5738,5,2026-08-22,2,18.236345,73.381962,0,1,0,0,0,0,1,0,Low
Protest/March,Night,169541,Outdoor,169541,254311,0,2026-09-13,9,18.563393,73.451527,0,0,1,1,0,1,1,0,High
Major Concert,Afternoon,77121,Indoor,79613,108367,15,2026-05-10,7,19.447829,72.598847,0,0,1,1,1,0,1,1,Medium
Major Concert,Night,13709,Indoor,15079,15079,2,2026-07-02,5,18.533064,73.603209,1,1,1,1,0,0,1,1,High
Sports Match,Evening,44482,Outdoor,47770,70197,9,2026-08-13,8,19.336385,73.472214,1,1,0,1,1,0,1,0,Medium
Political Rally,Morning,2344042,Outdoor,1922865,937616,3,2026-07-09,55,18.45681,73.982523,0,1,1,0,1,0,1,0,High
Sports Match,Night,2674,Outdoor,5901,21318,19,2026-04-05,5,18.058342,73.156794,0,0,0,1,0,0,1,0,Low
Sports Match,Afternoon,1674,Outdoor,3242,11870,10,2026-08-13,6,18.737671,73.033294,0,0,0,1,0,0,0,0,Low
Sports Match,Morning,9271,Outdoor,17115,45641,57,2026-08-20,2,18.588327,72.873004,0,0,0,1,0,0,1,0,Low
Sports Match,Night,8424,Outdoor,15589,40749,51,2026-05-14,5,18.400911,73.733285,0,0,0,1,0,0,1,0,Low
Political Rally,Afternoon,45972,Indoor,52987,82206,10,2026-06-03,5,18.858981,73.769684,0,1,1,1,1,0,1,0,High
Major Concert,Evening,13889,Indoor,15277,15277,2,2026-06-10,3,18.452516,73.457895,1,1,1,1,0,0,1,1,High
Major Concert,Morning,10325,Indoor,11357,11357,2,2026-08-26,3,18.948848,73.921084,1,1,1,1,0,0,1,1,High
Political Rally,Night,50855,Indoor,54434,65798,10,2026-05-15,7,18.7062,73.312589,0,0,1,1,1,0,1,0,Medium
Major Concert,Afternoon,41381,Outdoor,48749,63911,9,2026-06-29,4,18.164076,73.603081,1,1,1,1,1,0,1,1,Medium
Major Concert,Morning,58440,Indoor,63287,101844,12,2026-05-12,7,19.397794,72.606131,0,0,1,1,1,0,1,1,Medium
Political Rally,Night,26912,Outdoor,30335,46107,6,2026-09-21,7,18.370052,73.684114,1,1,0,1,0,0,1,0,Medium
Sports Match,Afternoon,3898,Outdoor,11175,33470,37,2026-05-02,6,18.256055,73.816772,0,1,0,1,0,0,1,0,Low
Sports Match,Evening,37259,Outdoor,44102,83897,8,2026-05-13,4,18.823055,73.216872,1,1,1,1,1,0,1,0,Medium
Mega Religious Gathering,Evening,2441522,Outdoor,2140555,976608,2,2026-07-27,67,18.662463,72.98493,0,1,1,1,0,1,1,0,High
Political Rally,Afternoon,10078,Outdoor,10454,15154,4,2026-07-11,4,18.780499,73.358411,0,1,1,1,0,0,1,0,Medium
Political Rally,Night,24535,Outdoor,25746,38282,5,2026-09-04,3,18.741597,72.646974,0,1,0,1,0,0,1,0,Medium
Major Concert,Evening,15288,Indoor,16816,16816,2,2026-08-23,6,18.122279,72.913742,1,1,1,0,0,0,1,1,High
Political Rally,Morning,32189,Outdoor,38472,71826,7,2026-09-14,6,18.80885,72.664096,0,0,1,1,1,0,1,0,Medium
Major Concert,Evening,12245,Indoor,13469,13469,2,2026-07-07,5,18.229872,73.648696,1,1,1,1,0,0,1,1,High
Sports Match,Evening,6933,Outdoor,20389,66341,67,2026-08-15,6,18.380291,73.339973,0,1,0,1,0,0,1,0,Low
Major Concert,Night,17785,Indoor,19563,19563,2,2026-05-21,5,18.833218,72.879786,1,1,1,0,0,0,1,1,High
Major Concert,Afternoon,21885,Outdoor,22398,31080,4,2026-08-31,6,18.956944,73.930526,0,1,0,1,0,0,1,1,Medium
Major Concert,Night,13994,Indoor,15393,15393,2,2026-08-11,3,18.153166,72.802566,1,1,1,1,0,0,1,1,High
Sports Match,Afternoon,6297,Outdoor,16394,43848,54,2026-07-27,4,18.673534,72.772613,0,1,0,1,0,0,0,0,Low
Major Concert,Evening,41543,Indoor,47432,83409,9,2026-07-27,8,18.197403,73.694052,0,0,0,1,1,0,1,1,Medium
Political Rally,Afternoon,40343,Outdoor,45254,67951,9,2026-08-24,8,19.125083,73.340988,1,0,0,1,1,0,1,0,Medium
Political Rally,Morning,79049,Outdoor,88491,140597,17,2026-07-16,8,19.076131,73.75916,1,1,0,1,1,0,1,0,Medium
Mega Religious Gathering,Morning,879351,Outdoor,726319,351740,2,2026-05-06,48,19.469458,72.907905,0,1,1,0,0,1,1,0,High
Sports Match,Night,2263,Outdoor,4569,16674,15,2026-06-20,3,18.90706,73.518457,0,1,0,1,0,0,1,0,Low
Major Concert,Night,22404,Indoor,25131,34554,5,2026-09-07,8,18.083018,73.419119,0,1,1,1,0,0,1,1,Medium
Political Rally,Night,26264,Outdoor,30946,50152,6,2026-05-22,3,19.029618,73.02451,1,1,0,1,0,0,1,0,Medium
Private Function,Night,868,Outdoor,2588,8173,8,2026-08-06,2,18.505352,72.983583,0,0,0,0,0,0,0,0,Low
Private Function,Afternoon,190,Outdoor,473,1109,3,2026-05-31,4,18.31949,73.751857,0,0,0,0,0,0,1,0,Low
Political Rally,Evening,632682,Outdoor,564745,253072,2,2026-09-19,71,19.387829,73.323497,0,1,1,1,1,0,1,0,High
Major Concert,Evening,14116,Indoor,15527,15527,2,2026-04-09,6,19.339534,73.222486,1,1,1,1,0,0,1,1,High
Protest/March,Night,211884,Outdoor,211884,317826,0,2026-09-23,5,19.040177,72.538695,0,0,1,1,0,1,1,0,High
Sports Match,Night,33456,Indoor,37072,60331,7,2026-08-20,3,18.093942,72.970938,0,1,1,1,1,0,1,0,Medium
Sports Match,Night,18207,Outdoor,21154,34524,4,2026-08-21,3,18.990035,72.994365,1,1,0,1,0,0,1,0,Medium
Private Function,Morning,773,Outdoor,2125,4382,7,2026-07-11,4,18.477946,73.326626,0,0,0,0,0,0,1,0,Low
Political Rally,Morning,938232,Outdoor,599440,375292,3,2026-06-04,41,18.637309,73.613879,0,1,1,1,1,0,1,0,High
Major Concert,Afternoon,18593,Indoor,20452,20452,2,2026-09-15,6,19.324003,72.74193,1,1,0,1,0,0,1,1,High
Political Rally,Night,76055,Indoor,84188,111020,16,2026-08-11,3,19.492868,72.516642,0,1,1,1,1,0,1,0,Medium
Sports Match,Morning,7918,Outdoor,22787,85266,75,2026-09-24,5,18.568436,73.74625,0,0,0,1,0,0,0,0,Low
Private Function,Afternoon,62,Outdoor,154,342,3,2026-07-28,2,19.073602,73.556521,0,0,0,0,0,0,1,0,Low
Private Function,Afternoon,235,Outdoor,659,1743,3,2026-09-20,6,18.818354,72.54145,0,0,0,0,0,0,0,0,Medium
Sports Match,Afternoon,34016,Outdoor,35535,42694,7,2026-06-08,8,18.862102,72.619402,0,1,0,1,1,0,1,0,Medium
Political Rally,Night,806880,Outdoor,567988,322752,2,2026-08-20,46,18.516477,73.051506,0,1,1,1,1,0,1,0,High
Private Function,Morning,803,Outdoor,1516,3318,5,2026-04-10,2,19.394372,73.334424,0,0,0,0,0,0,1,0,Low
Major Concert,Night,70198,Outdoor,72416,136537,14,2026-09-21,3,19.26644,72.599941,1,1,1,1,1,0,1,1,Medium
Sports Match,Evening,8342,Outdoor,16930,45537,56,2026-07-21,3,18.080443,72.857736,0,0,0,1,0,0,1,0,Low
Political Rally,Night,21749,Outdoor,24707,42669,4,2026-07-15,6,19.223916,73.201781,0,1,0,1,0,0,1,0,Medium
Political Rally,Night,20475,Outdoor,22346,31766,4,2026-05-07,8,19.237169,73.25137,1,0,0,1,0,0,1,0,High
Political Rally,Night,1982536,Outdoor,1350377,793014,1,2026-08-04,52,19.114168,73.510432,0,1,0,1,1,0,1,0,High
Private Function,Morning,1487,Outdoor,2878,9005,9,2026-08-10,3,19.273946,73.56805,0,0,0,0,0,0,1,0,Medium
Sports Match,Night,6758,Outdoor,13029,27114,43,2026-04-03,3,18.886431,72.765149,0,1,0,1,0,0,1,0,Low
Sports Match,Evening,46612,Indoor,53413,73291,10,2026-07-10,5,19.14325,73.233275,0,0,1,1,1,0,1,0,Medium
Political Rally,Afternoon,1221655,Outdoor,1000112,488662,3,2026-09-25,48,18.455099,73.395865,0,1,0,0,1,0,1,0,High
Sports Match,Night,18851,Outdoor,19257,36961,4,2026-04-27,5,18.766988,73.495503,0,1,1,1,0,0,1,0,Low
Sports Match,Evening,78830,Indoor,86428,160723,17,2026-08-18,3,18.818997,73.578714,0,1,0,1,1,0,1,0,Medium
Sports Match,Evening,8805,Outdoor,24622,92156,82,2026-04-16,3,18.972169,73.772013,0,1,0,1,0,0,0,0,Low
Political Rally,Afternoon,34165,Indoor,36606,48388,7,2026-08-01,4,18.699252,72.995559,0,0,1,1,1,0,1,0,Medium
Major Concert,Night,49076,Indoor,58681,108954,11,2026-07-22,4,18.928708,72.916152,0,1,0,1,1,0,1,1,Medium
Major Concert,Night,12782,Indoor,14060,14060,2,2026-08-12,5,18.202802,73.305741,1,1,1,1,0,0,1,1,High
Political Rally,Afternoon,78795,Outdoor,93297,147143,18,2026-09-13,5,19.39866,73.82885,0,1,1,1,1,0,1,0,Medium
Mega Religious Gathering,Night,567048,Outdoor,458592,226819,2,2026-05-06,31,18.720395,73.432213,0,1,1,1,0,1,1,0,High
Political Rally,Afternoon,23084,Outdoor,24999,38684,4,2026-07-17,3,19.316038,73.663317,1,1,0,1,0,0,1,0,High
Sports Match,Afternoon,8134,Outdoor,18123,66070,60,2026-05-23,2,18.559522,73.971099,0,0,0,1,0,0,0,0,Low
Private Function,Morning,1200,Indoor,1826,4635,6,2026-04-21,5,18.305229,73.007912,0,1,0,0,0,0,1,0,Low
Private Function,Night,453,Outdoor,1125,3372,3,2026-07-05,6,19.046993,72.73839,0,1,0,0,0,0,1,0,Low
Protest/March,Morning,150030,Outdoor,150030,225045,0,2026-07-15,8,19.118051,73.919653,0,0,1,1,0,1,1,0,High
Major Concert,Evening,67775,Indoor,69006,114488,13,2026-05-02,3,18.530411,73.455982,0,0,1,1,1,0,1,1,Medium
Sports Match,Night,4631,Outdoor,13345,32122,44,2026-09-14,6,18.321212,73.774097,0,0,0,1,0,0,1,0,Low
Mega Religious Gathering,Afternoon,1043332,Outdoor,925973,417332,2,2026-07-14,36,18.70609,73.1381,0,1,1,0,0,1,1,0,High
Sports Match,Night,63142,Outdoor,71708,121140,14,2026-05-24,8,18.322675,73.221229,1,1,1,1,1,0,1,0,Low
Major Concert,Morning,11972,Indoor,13169,13169,2,2026-05-16,5,18.738954,73.941587,1,1,0,1,0,0,1,1,High
Protest/March,Evening,138514,Outdoor,138514,207771,0,2026-04-29,9,19.097454,72.738714,0,0,1,1,0,1,1,0,High
Private Function,Night,550,Indoor,1608,4611,5,2026-05-19,4,19.198646,73.666139,0,0,0,0,0,0,1,0,Low
Mega Religious Gathering,Evening,1031744,Outdoor,848497,412697,2,2026-04-17,42,19.290586,72.570166,0,1,0,1,0,1,1,0,High
Major Concert,Morning,17656,Outdoor,20263,28677,4,2026-04-05,5,19.214741,72.70727,1,1,1,1,0,0,1,1,Medium
Major Concert,Afternoon,18517,Indoor,20368,20368,2,2026-05-12,6,18.623864,73.629323,1,1,1,1,0,0,1,1,High
Private Function,Afternoon,1211,Outdoor,3400,9921,11,2026-07-25,5,18.72837,73.193608,0,1,0,0,0,0,0,0,Low
Major Concert,Afternoon,10688,Indoor,12002,21578,4,2026-05-25,6,18.756307,72.800728,0,1,1,1,0,0,1,1,Medium
Protest/March,Evening,137526,Outdoor,137526,206289,0,2026-08-13,4,19.456032,72.699277,0,0,1,1,0,1,1,0,High
Private Function,Night,98,Outdoor,165,592,3,2026-04-11,2,18.595331,73.10934,0,0,0,0,0,0,0,0,Low
Sports Match,Afternoon,2817,Outdoor,6359,25110,21,2026-08-25,3,18.384523,73.747817,0,0,0,1,0,0,0,0,Low
Sports Match,Evening,6605,Outdoor,16927,53181,56,2026-06-05,3,18.08019,73.041377,0,0,0,1,0,0,1,0,Low
Political Rally,Morning,43081,Outdoor,50150,86631,10,2026-04-15,8,19.481859,72.918078,0,0,1,1,1,0,1,0,Medium
Private Function,Morning,1485,Outdoor,3969,13599,13,2026-08-20,3,18.816057,73.534969,0,0,0,0,0,0,0,0,Low
Political Rally,Morning,790174,Outdoor,555630,316069,2,2026-07-03,40,18.585116,73.913627,0,1,0,1,1,0,1,0,High
Major Concert,Night,74071,Indoor,74811,99323,14,2026-08-18,7,18.533534,73.529948,0,1,1,1,1,0,1,1,Medium
Sports Match,Night,8634,Outdoor,24362,87376,81,2026-07-22,4,18.354588,72.804258,0,1,0,1,0,0,1,0,Low
Private Function,Afternoon,1299,Indoor,3519,9272,11,2026-04-23,5,18.380944,72.612337,0,0,0,0,0,0,0,0,Low
Sports Match,Evening,1560,Outdoor,3462,11393,11,2026-06-17,3,18.766571,73.148486,0,0,0,1,0,0,1,0,Low
Political Rally,Afternoon,42053,Indoor,47707,60658,9,2026-09-28,5,18.842847,73.066744,0,0,1,1,1,0,1,0,Medium
Sports Match,Night,3779,Outdoor,7471,15633,24,2026-06-06,4,18.687248,72.63454,0,0,0,1,0,0,1,0,Low
Mega Religious Gathering,Evening,666355,Outdoor,565833,266542,2,2026-09-15,19,18.979851,73.98418,0,1,0,1,0,1,1,0,High
Political Rally,Night,71713,Outdoor,72067,87203,14,2026-08-01,5,18.177592,73.969335,0,1,0,1,1,0,1,0,Low
Major Concert,Night,18829,Indoor,20711,20711,2,2026-04-08,5,19.055398,73.810162,1,1,0,1,0,0,1,1,High
Protest/March,Afternoon,431521,Outdoor,431521,647281,0,2026-08-14,7,18.608336,73.060346,0,0,1,1,0,1,1,0,High
Political Rally,Afternoon,21801,Outdoor,23973,45314,4,2026-07-06,7,19.270894,73.885573,0,0,0,1,0,0,1,0,Medium
Major Concert,Morning,12877,Indoor,14164,14164,2,2026-06-08,3,19.101211,73.108985,1,1,1,1,0,0,1,1,High
Private Function,Evening,557,Indoor,1399,2920,4,2026-06-17,3,18.574225,73.131382,0,0,0,0,0,0,0,0,Low
Private Function,Night,698,Outdoor,1610,4318,5,2026-04-05,5,19.377183,73.40312,0,0,0,0,0,0,0,0,Low
Protest/March,Night,348361,Outdoor,348361,522541,0,2026-07-31,8,18.443325,72.534891,0,0,1,1,0,1,1,0,High
Mega Religious Gathering,Night,800929,Outdoor,715201,320371,1,2026-05-27,62,19.324552,72.963739,0,1,1,1,0,1,1,0,High
Protest/March,Night,114950,Outdoor,114950,172425,0,2026-09-04,6,19.350243,73.284801,0,0,1,1,0,1,1,0,High
Protest/March,Night,233722,Outdoor,233722,350583,0,2026-06-10,5,18.259223,72.889845,0,0,1,1,0,1,1,0,High
Private Function,Evening,788,Indoor,1323,4091,4,2026-06-07,2,18.497835,73.78242,0,0,0,0,0,0,0,0,Low
Major Concert,Evening,9918,Indoor,10909,10909,2,2026-04-14,4,18.914658,73.32539,1,1,1,1,0,0,0,1,High
Major Concert,Afternoon,10664,Indoor,11730,11730,2,2026-09-26,4,18.223079,73.455984,1,1,1,1,0,0,1,1,High
Sports Match,Afternoon,9132,Outdoor,16552,52120,55,2026-05-13,2,18.942143,73.307208,0,0,0,1,0,0,1,0,Low
Political Rally,Morning,28434,Indoor,29290,47885,5,2026-05-11,5,18.60403,73.285074,0,1,1,1,0,0,1,0,Medium
Major Concert,Afternoon,8882,Indoor,9770,9770,2,2026-05-14,5,18.804853,73.530255,1,1,1,0,0,0,0,1,High
Sports Match,Morning,16404,Outdoor,19391,24166,4,2026-09-03,5,18.072712,73.895821,1,1,1,1,0,0,1,0,Medium
Major Concert,Evening,67764,Indoor,75293,100384,15,2026-04-10,4,18.825439,72.632134,0,1,0,1,1,0,1,1,Medium
Sports Match,Evening,2138,Outdoor,5905,21120,19,2026-09-03,2,18.445625,72.674669,0,0,0,1,0,0,1,0,Low
Sports Match,Afternoon,6598,Outdoor,18180,40094,60,2026-09-01,5,18.585064,72.773141,0,0,0,1,0,0,1,0,Low
Private Function,Evening,758,Indoor,1699,6209,5,2026-08-18,5,19.138381,72.777428,0,0,0,0,0,0,1,0,Low
Political Rally,Evening,71760,Indoor,85696,135558,17,2026-07-07,6,18.90626,72.725523,0,0,1,1,1,0,1,0,Medium
Private Function,Night,505,Indoor,797,1986,3,2026-08-06,5,18.930824,73.700507,0,0,0,0,0,0,1,0,Low
Political Rally,Morning,16176,Indoor,18637,25719,4,2026-06-12,5,19.235395,72.62987,0,1,0,1,0,0,1,0,Medium
Sports Match,Night,2560,Outdoor,5908,22930,19,2026-05-23,2,18.992997,73.374482,0,0,0,1,0,0,1,0,Low
Political Rally,Evening,1554144,Outdoor,950415,621657,2,2026-08-30,43,18.896565,72.635641,0,1,1,1,1,0,1,0,High
Political Rally,Morning,11801,Outdoor,12830,23182,4,2026-08-15,4,19.417153,73.113937,0,0,1,1,0,0,1,0,Medium
Private Function,Afternoon,857,Outdoor,1578,4874,5,2026-06-24,6,18.542436,72.85863,0,0,0,0,0,0,1,0,Medium
Major Concert,Night,30594,Indoor,30847,60392,6,2026-09-12,4,18.920063,73.46019,0,1,1,1,1,0,1,1,Medium
